"Team","tgames","wp","owp","oowp","rpi","rank"
"Virginia Cavaliers",18,0.888888888888889,0.487654320987654,0.502057613168724,0.59156378600823,1
"North Carolina Tar Heels",18,0.888888888888889,0.484567901234568,0.503086419753086,0.590277777777778,2
"Duke Blue Devils",18,0.777777777777778,0.515432098765432,0.498285322359396,0.57673182441701,3
"Florida State Seminoles",18,0.722222222222222,0.450617283950617,0.506687242798354,0.532536008230453,4
"Virginia Tech Hokies",18,0.666666666666667,0.472222222222222,0.505315500685871,0.529106652949246,5
"Louisville Cardinals",18,0.555555555555556,0.509259259259259,0.499314128943759,0.518347050754458,6
"Syracuse Orange",18,0.555555555555556,0.481481481481481,0.502572016460905,0.505272633744856,7
"Clemson Tigers",18,0.5,0.487654320987654,0.498971193415638,0.493569958847737,8
"North Carolina State Wolfpack",18,0.5,0.475308641975309,0.503600823045268,0.488554526748971,9
"Georgia Tech Yellow Jackets",18,0.333333333333333,0.512345679012346,0.495884773662551,0.463477366255144,10
"Miami (FL) Hurricanes",18,0.277777777777778,0.540123456790123,0.494341563786008,0.463091563786008,11
"Wake Forest Demon Deacons",18,0.222222222222222,0.530864197530864,0.497256515775034,0.445301783264746,12
"Boston College Eagles",18,0.277777777777778,0.5,0.499657064471879,0.444358710562414,13
"Notre Dame Fighting Irish",18,0.166666666666667,0.527777777777778,0.496913580246914,0.429783950617284,14
"Pittsburgh Panthers",18,0.166666666666667,0.524691358024691,0.496056241426612,0.428026406035665,15
